PAGE_NAME,IS_MOBILE,RAW_TRAFFIC,RAW_TRAFFIC_WITH_CALL,CALL_TO_TRAFFIC_RATIO
main>account>subpage10>subsubpage_c,MOB,89,19,0.21348314606741572
main>account>subpage10>subsubpage_e,MOB,101,10,0.09900990099009901
main>account>subpage10>subsubpage_h,MOB,510,262,0.5137254901960784
main>account>subpage10>subsubpage_m,MOB,10,1,0.1
main>account>subpage10>subsubpage_o,MOB,212,35,0.1650943396226415
main>account>subpage10>subsubpage_p,MOB,79,30,0.379746835443038
main>account>subpage10>subsubpage_q,MOB,363,4,0.011019283746556474
main>account>subpage10>subsubpage_r,MOB,971,59,0.0607621009268795
main>account>subpage10>subsubpage_s,MOB,39,6,0.15384615384615385
main>account>subpage10>subsubpage_v,MOB,95,9,0.09473684210526316
main>account>subpage10>subsubpage_x,MOB,1327,-38,-0.028636021100226075
main>account>subpage10>subsubpage_y,MOB,14,1,0.07142857142857142
main>account>subpage10>subsubpage_z,MOB,2652,255,0.09615384615384616
main>account>subpage1>subsubpage_a,MOB,157,37,0.2356687898089172
main>account>subpage1>subsubpage_b,MOB,766,-76,-0.09921671018276762
main>account>subpage1>subsubpage_c,MOB,38,1,0.02631578947368421
main>account>subpage1>subsubpage_d,MOB,119,38,0.31932773109243695
main>account>subpage1>subsubpage_g,MOB,84,36,0.42857142857142855
main>account>subpage1>subsubpage_h,MOB,75,-5,-0.06666666666666667
main>account>subpage1>subsubpage_i,MOB,4,1,0.25
main>account>subpage1>subsubpage_j,MOB,13317,38,0.0028534955320267327
main>account>subpage1>subsubpage_l,MOB,10,0,0.0
main>account>subpage1>subsubpage_o,MOB,15,0,0.0
main>account>subpage1>subsubpage_p,MOB,51,4,0.0784313725490196
main>account>subpage1>subsubpage_q,MOB,98,29,0.29591836734693877
main>account>subpage1>subsubpage_r,MOB,22,5,0.22727272727272727
main>account>subpage1>subsubpage_w,MOB,1687,268,0.15886188500296383
main>account>subpage1>subsubpage_x,MOB,271,25,0.09225092250922509
main>account>subpage1>subsubpage_y,MOB,192,28,0.14583333333333334
main>account>subpage2>subsubpage_a,MOB,246,33,0.13414634146341464
main>account>subpage2>subsubpage_c,MOB,16,4,0.25
main>account>subpage2>subsubpage_d,MOB,299,16,0.05351170568561873
main>account>subpage2>subsubpage_e,MOB,42,6,0.14285714285714285
main>account>subpage2>subsubpage_h,MOB,80,10,0.125
main>account>subpage2>subsubpage_j,MOB,1613,229,0.14197148171109733
main>account>subpage2>subsubpage_l,MOB,35,6,0.17142857142857143
main>account>subpage2>subsubpage_m,MOB,101,18,0.1782178217821782
main>account>subpage2>subsubpage_r,MOB,2764,968,0.35021707670043417
main>account>subpage2>subsubpage_s,MOB,17,2,0.11764705882352941
main>account>subpage2>subsubpage_v,MOB,286,109,0.3811188811188811
main>account>subpage2>subsubpage_w,MOB,48,5,0.10416666666666667
main>account>subpage2>subsubpage_z,MOB,86,6,0.06976744186046512
main>account>subpage3>subsubpage_c,MOB,19,3,0.15789473684210525
main>account>subpage3>subsubpage_d,MOB,225,45,0.2
main>account>subpage3>subsubpage_g,MOB,30,5,0.16666666666666666
main>account>subpage3>subsubpage_h,MOB,368,126,0.3423913043478261
main>account>subpage3>subsubpage_l,MOB,8129,2608,0.32082666994710296
main>account>subpage3>subsubpage_n,MOB,684,153,0.2236842105263158
main>account>subpage3>subsubpage_o,MOB,106,10,0.09433962264150944
main>account>subpage3>subsubpage_q,MOB,77,10,0.12987012987012986
main>account>subpage3>subsubpage_r,MOB,994,359,0.3611670020120724
