PAGE_NAME,IS_MOBILE,RAW_TRAFFIC,RAW_TRAFFIC_WITH_CALL,CALL_TO_TRAFFIC_RATIO
main>account>subpage10>subsubpage_c,MOB,66,5,0.07575757575757576
main>account>subpage10>subsubpage_e,MOB,70,9,0.12857142857142856
main>account>subpage10>subsubpage_h,MOB,29,-5,-0.1724137931034483
main>account>subpage10>subsubpage_m,MOB,1631,645,0.39546290619251995
main>account>subpage10>subsubpage_o,MOB,36,-4,-0.1111111111111111
main>account>subpage10>subsubpage_p,MOB,2105,49,0.02327790973871734
main>account>subpage10>subsubpage_q,MOB,63,14,0.2222222222222222
main>account>subpage10>subsubpage_r,MOB,28,-1,-0.03571428571428571
main>account>subpage10>subsubpage_s,MOB,11,0,0.0
main>account>subpage10>subsubpage_v,MOB,141,1,0.0070921985815602835
main>account>subpage10>subsubpage_x,MOB,146,34,0.2328767123287671
main>account>subpage10>subsubpage_y,MOB,493,243,0.49290060851926976
main>account>subpage10>subsubpage_z,MOB,58,9,0.15517241379310345
main>account>subpage1>subsubpage_a,MOB,333,-5,-0.015015015015015015
main>account>subpage1>subsubpage_b,MOB,417,96,0.2302158273381295
main>account>subpage1>subsubpage_c,MOB,137,8,0.058394160583941604
main>account>subpage1>subsubpage_d,MOB,70,10,0.14285714285714285
main>account>subpage1>subsubpage_g,MOB,218,71,0.3256880733944954
main>account>subpage1>subsubpage_h,MOB,71,2,0.028169014084507043
main>account>subpage1>subsubpage_i,MOB,45,6,0.13333333333333333
main>account>subpage1>subsubpage_j,MOB,119,2,0.01680672268907563
main>account>subpage1>subsubpage_l,MOB,46,5,0.10869565217391304
main>account>subpage1>subsubpage_o,MOB,72,13,0.18055555555555555
main>account>subpage1>subsubpage_p,MOB,12,0,0.0
main>account>subpage1>subsubpage_q,MOB,131,13,0.09923664122137404
main>account>subpage1>subsubpage_r,MOB,180,20,0.1111111111111111
main>account>subpage1>subsubpage_w,MOB,209,11,0.05263157894736842
main>account>subpage1>subsubpage_x,MOB,49,-1,-0.02040816326530612
main>account>subpage1>subsubpage_y,MOB,30,-1,-0.03333333333333333
main>account>subpage2>subsubpage_a,MOB,29,3,0.10344827586206896
main>account>subpage2>subsubpage_c,MOB,31,3,0.0967741935483871
main>account>subpage2>subsubpage_d,MOB,13306,6449,0.48466857056966783
main>account>subpage2>subsubpage_e,MOB,49,-10,-0.20408163265306123
main>account>subpage2>subsubpage_h,MOB,118,19,0.16101694915254236
main>account>subpage2>subsubpage_j,MOB,169,34,0.20118343195266272
main>account>subpage2>subsubpage_l,MOB,306,108,0.35294117647058826
main>account>subpage2>subsubpage_m,MOB,284,63,0.22183098591549297
main>account>subpage2>subsubpage_r,MOB,23,0,0.0
main>account>subpage2>subsubpage_s,MOB,507,76,0.14990138067061143
main>account>subpage2>subsubpage_v,MOB,323,74,0.22910216718266255
main>account>subpage2>subsubpage_w,MOB,30,3,0.1
main>account>subpage2>subsubpage_z,MOB,271,72,0.2656826568265683
