PAGE_NAME,IS_MOBILE,RAW_TRAFFIC,RAW_TRAFFIC_WITH_CALL,CALL_TO_TRAFFIC_RATIO
main>account>subpage10>subsubpage_c,MOB,299,117,0.391304347826087
main>account>subpage10>subsubpage_e,MOB,65,3,0.046153846153846156
main>account>subpage10>subsubpage_h,MOB,1381,97,0.07023895727733527
main>account>subpage10>subsubpage_m,MOB,62,0,0.0
main>account>subpage10>subsubpage_o,MOB,18,5,0.2777777777777778
main>account>subpage10>subsubpage_p,MOB,23,-4,-0.17391304347826086
main>account>subpage10>subsubpage_q,MOB,33,13,0.3939393939393939
main>account>subpage10>subsubpage_r,MOB,23,0,0.0
main>account>subpage10>subsubpage_s,MOB,1235,244,0.19757085020242915
main>account>subpage10>subsubpage_v,MOB,86,9,0.10465116279069768
main>account>subpage10>subsubpage_x,MOB,1405,519,0.3693950177935943
main>account>subpage10>subsubpage_y,MOB,2645,-420,-0.15879017013232513
main>account>subpage10>subsubpage_z,MOB,174,17,0.09770114942528736
main>account>subpage1>subsubpage_a,MOB,69,6,0.08695652173913043
main>account>subpage1>subsubpage_b,MOB,312,99,0.3173076923076923
main>account>subpage1>subsubpage_c,MOB,34,0,0.0
main>account>subpage1>subsubpage_d,MOB,107,13,0.12149532710280374
main>account>subpage1>subsubpage_g,MOB,6710,122,0.01818181818181818
main>account>subpage1>subsubpage_h,MOB,36,5,0.1388888888888889
main>account>subpage1>subsubpage_i,MOB,42,10,0.23809523809523808
main>account>subpage1>subsubpage_j,MOB,432,-6,-0.013888888888888888
main>account>subpage1>subsubpage_l,MOB,1894,609,0.3215417106652587
main>account>subpage1>subsubpage_o,MOB,1012,288,0.2845849802371542
main>account>subpage1>subsubpage_p,MOB,10,2,0.2
main>account>subpage1>subsubpage_q,MOB,69,19,0.2753623188405797
main>account>subpage1>subsubpage_r,MOB,383,18,0.04699738903394256
main>account>subpage1>subsubpage_w,MOB,28,3,0.10714285714285714
main>account>subpage1>subsubpage_x,MOB,33,0,0.0
main>account>subpage1>subsubpage_y,MOB,7267,798,0.1098114765377735
main>account>subpage2>subsubpage_a,MOB,12,2,0.16666666666666666
main>account>subpage2>subsubpage_c,MOB,281,13,0.046263345195729534
main>account>subpage2>subsubpage_d,MOB,52,4,0.07692307692307693
main>account>subpage2>subsubpage_e,MOB,24,1,0.041666666666666664
main>account>subpage2>subsubpage_h,MOB,14,0,0.0
main>account>subpage2>subsubpage_j,MOB,620,30,0.04838709677419355
main>account>subpage2>subsubpage_l,MOB,102,15,0.14705882352941177
main>account>subpage2>subsubpage_m,MOB,33,0,0.0
main>account>subpage2>subsubpage_r,MOB,15,2,0.13333333333333333
main>account>subpage2>subsubpage_s,MOB,40,15,0.375
main>account>subpage2>subsubpage_v,MOB,29,7,0.2413793103448276
main>account>subpage2>subsubpage_w,MOB,35,4,0.11428571428571428
main>account>subpage2>subsubpage_z,MOB,1530,25,0.016339869281045753
main>account>subpage3>subsubpage_c,MOB,87,3,0.034482758620689655
main>account>subpage3>subsubpage_d,MOB,20647,8338,0.4038359083644113
main>account>subpage3>subsubpage_g,MOB,495,78,0.15757575757575756
main>account>subpage3>subsubpage_h,MOB,25,1,0.04
main>account>subpage3>subsubpage_l,MOB,143,25,0.17482517482517482
main>account>subpage3>subsubpage_n,MOB,124,57,0.4596774193548387
main>account>subpage3>subsubpage_o,MOB,1402,235,0.16761768901569188
main>account>subpage3>subsubpage_q,MOB,132,32,0.24242424242424243
main>account>subpage3>subsubpage_r,MOB,15,2,0.13333333333333333
main>account>subpage3>subsubpage_s,MOB,195,19,0.09743589743589744
main>account>subpage3>subsubpage_v,MOB,42,0,0.0
main>account>subpage3>subsubpage_x,MOB,31,3,0.0967741935483871
main>account>subpage3>subsubpage_y,MOB,1202,142,0.11813643926788686
main>account>subpage4>subsubpage_c,MOB,53,12,0.22641509433962265
main>account>subpage4>subsubpage_e,MOB,42,11,0.2619047619047619
main>account>subpage4>subsubpage_g,MOB,1367,396,0.2896854425749817
main>account>subpage4>subsubpage_i,MOB,505,97,0.19207920792079208
main>account>subpage4>subsubpage_k,MOB,20,5,0.25
main>account>subpage4>subsubpage_l,MOB,7422,273,0.036782538399353276
main>account>subpage4>subsubpage_m,MOB,41,14,0.34146341463414637
main>account>subpage4>subsubpage_o,MOB,29,6,0.20689655172413793
main>account>subpage4>subsubpage_p,MOB,683,71,0.10395314787701318
main>account>subpage4>subsubpage_r,MOB,183,41,0.22404371584699453
main>account>subpage4>subsubpage_s,MOB,3614,501,0.13862755949086886
main>account>subpage4>subsubpage_w,MOB,93,29,0.3118279569892473
main>account>subpage4>subsubpage_x,MOB,45,17,0.37777777777777777
main>account>subpage4>subsubpage_y,MOB,24,11,0.4583333333333333
main>account>subpage5>subsubpage_a,MOB,1947,-115,-0.05906522855675398
main>account>subpage5>subsubpage_b,MOB,17,-1,-0.058823529411764705
main>account>subpage5>subsubpage_d,MOB,29,2,0.06896551724137931
main>account>subpage5>subsubpage_h,MOB,1413,246,0.1740976645435244
main>account>subpage5>subsubpage_i,MOB,48,13,0.2708333333333333
main>account>subpage5>subsubpage_j,MOB,68,13,0.19117647058823528
main>account>subpage5>subsubpage_m,MOB,29464,-4517,-0.15330572902525116
main>account>subpage5>subsubpage_o,MOB,269,28,0.10408921933085502
main>account>subpage5>subsubpage_s,MOB,213,58,0.27230046948356806
main>account>subpage5>subsubpage_t,MOB,27,5,0.18518518518518517
main>account>subpage5>subsubpage_u,MOB,223,59,0.2645739910313901
main>account>subpage5>subsubpage_w,MOB,77,9,0.11688311688311688
main>account>subpage5>subsubpage_y,MOB,8,1,0.125
main>account>subpage5>subsubpage_z,MOB,887,157,0.17700112739571588
main>account>subpage6>subsubpage_a,MOB,1100,232,0.2109090909090909
main>account>subpage6>subsubpage_b,MOB,130,23,0.17692307692307693
main>account>subpage6>subsubpage_f,MOB,53,8,0.1509433962264151
main>account>subpage6>subsubpage_g,MOB,77,3,0.03896103896103896
main>account>subpage6>subsubpage_k,MOB,79,16,0.20253164556962025
main>account>subpage6>subsubpage_l,MOB,2523,424,0.16805390408244153
main>account>subpage6>subsubpage_o,MOB,135,43,0.31851851851851853
main>account>subpage6>subsubpage_q,MOB,43,14,0.32558139534883723
main>account>subpage6>subsubpage_s,MOB,249,44,0.17670682730923695
main>account>subpage6>subsubpage_t,MOB,40,3,0.075
main>account>subpage6>subsubpage_u,MOB,1243,67,0.053901850362027354
